image_name,x1,x2,y1,y2
JPEG_20160706_121146_1000145715002.png,115,495,143,325
JPEG_20161119_174038_1000690577600.png,23,457,61,409
147444927651111470309333776-Roadster-Men-Casual-Shoes-3041470309333487-1.png,37,601,13,470
147772332675720161028_161611.png,27,602,162,385
1473315333651DeeplearnS11638.png,60,586,174,325
JPEG_20161129_143914_1000304878557.png,35,549,37,442
JPEG_20161028_100621_1000815239330.png,77,558,86,434
1475060075141DSC02381.png,50,627,95,320
1473317734429DeeplearnS142.png,104,552,83,428
JPEG_20160607_153530_1000669241198.png,134,500,67,429
JPEG_20160627_154106_1000265795536.png,99,524,80,294
JPEG_20161129_134328_1000772650224.png,59,587,110,395
JPEG_20161201_123114_1000360160859.png,52,625,142,304
JPEG_20160621_155815_1000614998565.png,179,465,41,416
147771721999620161028_150629.png,77,481,79,444
1480066865683IMG_0157.png,85,449,160,338
147772025319520161028_151915.png,22,613,150,354
147742629330620161025_155320.png,125,499,20,268
JPEG_20160527_155124_1000980290136.png,154,467,0,480
JPEG_20161028_121752_10003102030.png,134,546,161,349
1474638701993DSC06811.png,161,573,43,382
JPEG_20160628_132442_1000306311172.png,114,542,125,372
147742527128620161025_151026.png,42,479,119,364
1480944963239_R2A1990.png,226,421,254,347
JPEG_20160804_161517_100037187045.png,28,602,48,423
JPEG_20160709_131920_1000403949668.png,24,477,19,472
1474711748206DSC07405.png,65,609,107,334
JPEG_20161124_133940_1000370433134.png,209,389,27,438
JPEG_20161123_185817_1000936746234.png,175,486,164,299
JPEG_20160723_192023_100022810186.png,0,640,0,440
JPEG_20161123_161917_1000691245413.png,266,357,73,392
147772062874720161028_154604.png,86,566,92,338
1474634407232DSC05920.png,30,611,53,324
JPEG_20160810_135200_1000252350484.png,199,487,146,420
JPEG_20161130_151625_1000513274539.png,34,601,70,382
1473661629179DeeplearnS11509.png,60,583,152,332
JPEG_20161117_175829_1000670753549.png,234,362,145,349
JPEG_20161123_184340_1000982358317.png,112,483,169,337
147443993217111472450523339-Roadster-Men-Grey-Sneakers-4751472450523145-5.png,30,640,59,436
JPEG_20161025_131729_1000643972377.png,137,488,62,433
JPEG_20161126_164712_1000236939160.png,64,602,149,324
1473750236513IMG_1108.png,88,559,168,335
1472629089402zoom1-Copy.png,34,607,107,399
JPEG_20160704_172116_1000861608634.png,94,567,158,324
JPEG_20161201_160357_1000965016556.png,131,529,38,470
1480965215775IMG_3062.png,181,471,62,448
147772172258320161028_161511.png,72,583,45,343
1480951436923_R2A2137.png,217,434,94,411
JPEG_20161028_142637_1000923172242.png,49,613,83,417
JPEG_20161118_150700_1000506466445.png,173,473,45,417
1473662891981DeeplearnS11359.png,71,572,126,357
JPEG_20161203_132254_1000178670601.png,175,509,24,418
JPEG_20161130_132113_1000907499945.png,125,428,48,447
JPEG_20160706_111526_1000476009087.png,112,536,166,289
JPEG_20160715_140239_1000265718556.png,69,500,148,342
1480970876761IMG_3438.png,188,462,50,461
JPEG_20161209_183557_1000364935730.png,103,631,165,361
JPEG_20160709_133325_1000574614398.png,178,454,142,346
JPEG_20161130_182253_1000427105105.png,161,548,197,292
147324145353520150407070610PR_Utility_Corner.png,16,626,78,406
1480584645523IMG_20161129_210604.png,43,624,57,393
JPEG_20160820_150657_1000701546226.png,162,609,117,340
JPEG_20160704_133610_100024164384.png,88,562,187,291
JPEG_20160820_131434_1000670423083.png,216,474,63,464
JPEG_20161124_164003_1000351544496.png,134,477,73,421
JPEG_20160810_164006_100032155769.png,160,449,31,446
JPEG_20160711_163048_1000163114709.png,226,421,26,418
1474702968408DSC07152.png,90,575,18,254
JPEG_20161202_161734_1000493518513.png,47,558,103,404
1480339688516_R2A4219.png,249,387,36,432
1474700674755DSC06986.png,65,562,40,437
JPEG_20161202_185429_1000409274383.png,187,493,0,465
147753843170620161026_114700.png,66,535,128,331
JPEG_20161130_171321_1000383001035.png,22,640,303,372
1468667661276JPEG_20160712_153232_1000659454586.png,172,538,91,350
147754502791020161026_134821.png,112,538,141,331
JPEG_20161209_140236_1000244431439.png,92,496,12,438
JPEG_20161123_131743_1000303566438.png,179,552,94,387
1475151510767DSC00648.png,31,579,135,356
1473231590181DeeplearnS11478.png,57,595,149,344
JPEG_20160622_152616_1000246548412.png,118,456,100,451
JPEG_20161123_174933_1000591803081.png,230,435,109,379
JPEG_20160627_120032_1000157611172.png,175,574,149,326
JPEG_20161129_140105_1000238002257.png,0,556,111,412
JPEG_20161130_163343_1000584596767.png,16,573,134,344
JPEG_20161120_122526_1000504155878.png,76,500,161,316
147333272630551848fam_XXX_v1.png,26,613,117,360
1480598143958_R2A5475.png,269,567,26,450
147445006893011473243520067-Roadster-Men-Grey-Solid-Regular-Sneakers-4861473243519759-1.png,33,605,43,461
JPEG_20161117_154402_1000938208918.png,0,640,0,480
JPEG_20160706_134313_1000410138823.png,139,523,169,301
JPEG_20160709_165812_1000564427158.png,174,522,66,346
JPEG_20160624_121957_1000459474116.png,97,578,76,385
JPEG_20161124_133528_1000185390193.png,75,524,106,397
JPEG_20160706_125859_1000274341962.png,191,606,152,317
1480512968076IMG_0412.png,32,535,120,339
1468666251726JPEG_20160712_160009_1000251747543.png,183,409,59,375
JPEG_20161007_135059_1000222185857.png,123,469,84,452
JPEG_20161130_133959_1000464262572.png,89,490,70,422
JPEG_20160810_161133_1000581994627.png,144,541,107,331
JPEG_20160628_124702_1000505542601.png,111,521,122,363
JPEG_20161129_150936_1000393497042.png,93,529,125,394
1480511233195IMG_0235.png,61,509,107,344
JPEG_20160628_135049_10009176618.png,70,499,130,357
